orig_index,input,true_intent,pred_intent,input_length,entity_count,confusion_pair
4698,"I have an oval shaped indentation on the top right side above my hip, near the waistline down from my back. My husband noticed it and it s odd that it just appeared recently. The patch is a different, almost pink color. There s no pain associated with that particular area. Just wondering if it is a symptom of rheumatoid arthritis. I started having patches of dry almost psoriasis like places on the back of my neck on my scalp and places on my palms. Thanks for any feedback!",symptom_inquiry,general_inquiry,89,4,symptom_inquiry → general_inquiry
1983,"My father is currently 72 had a quad by-pass in 03.  Last week had a heart attach, one stent was put it by way of angiogram.  He is currently recovering at home at home but can only stay away for maybe 20 minutes a day.  My brother is taking care of him.  My father is only on blood thinner medication and pain killers when needed.  Can you tell me why hes sleeping so much?  He has a follow-up appointment on Thursday and we will know by then but I thought I would get some input before then.",medication_inquiry,emergency,97,3,medication_inquiry → emergency
112,I am a 18 month post da vinci prostatectomy cancer survivor. My 18 month psa was negative. My issue is that I still have depression from post surgery issues. Especially sexual issues. My PCP has perscribed welbutrin which I have been taking for two months now. I am looking for advice on SE MI support groups or forums.,mental_health,symptom_inquiry,58,2,mental_health → symptom_inquiry
1994,I have what seems to be some fever on the right side of my head. very slight pressure on the back of the eye...it does NOT affect my vision. some soreness on the right side of my throat and a tenderness on the right side of my head. I also feel a slight sensitivity in my right ear. age 58 225 No alcohol/drugs 6 1 Generally excellent health no recent trauma for the past couple of days a slight increase in anxiety which I normally NEVER have.,medication_inquiry,symptom_inquiry,87,5,medication_inquiry → symptom_inquiry
3628,hello dr ... iam XXXXX from XXXX and i had started my father atorvostatin 2-3 years back and now continuing with rosuvastatin for past 6 months and now the liver function test came as sgpt 90 and ggt 190 elevated high but sgot is within normal range.. how to proceed further sir and is the liver permanently damaged?,diagnostic,medication_inquiry,58,2,diagnostic → medication_inquiry
4026,Hello I am 26yrs old and its 4yrs I got married and I was under medication for PCOS and last month my doctor did scanning and confirmed there is no PCOS problem.Then she started treating me to conceive and the treament was Follicular study and on 19th day after scanning my doctor confirms follicle of size 28*30 got ruptured in rt ovary and in between days like 15th day and 9th day i was injected with ChatDoctor injection.what is the chances getting pregnant ??,medication_inquiry,general_inquiry,84,1,medication_inquiry → general_inquiry
1976,"my mother is suffering from cancer from last 10 yrs she has taken 28 chemos along with 26 radiaton,now she is suffering from back pain in her L4 -L5 there is harniation grwoeth her left lef is paining due to that  and now from last two days i hv seen a black reddish patch on her right leg,Please will you help in what is that black patch is this any kind of blood clot?",symptom_inquiry,diagnostic,74,4,symptom_inquiry → diagnostic
4186,I have had a restricted shoulder for months and recently have had pain in the neck and my ear is swollen and sore.  I had an osteoma removed from the ear canal years ago and usually the doctor says he cant see anything but I know that antibiotics usually clear it up.  i have never had a scan but wondered if this could be mastoiditis.  I am in my fifties but apart from this am very fit.  How do I get my doctor to recognise it could be my ear that is causing my shoulder pain,diagnostic,general_inquiry,96,3,diagnostic → general_inquiry
3880,me and my husband are trying to have a child and one I have irregular periods and this is our first child so I dont know when I ovulate or when im fertile we are needing help my irregular periods are I think was making it hard for us and he said its hard for him to have kids he said when he was younger a Dr. told him he couldnt have kids. and I also have brith control pills from 2010 its never been opened or used can I still take them?,medication_inquiry,general_inquiry,93,0,medication_inquiry → general_inquiry
4239,I have DDD and also myofascial pain syndrome. On my left hip there has been a knot there for years. I do have to wear a Flector patch daily or else it is horrible pain. The knot seems to mess with my left leg at times. My left leg is very weak and even a year ago i fell and broke my left ankle. I am fed up with having to sit certain ways because if not I feel like i am sitting on a rock. It does not move around and feels hard. any advise?,symptom_inquiry,general_inquiry,96,2,symptom_inquiry → general_inquiry
4465,Hi.my son is 1.10yrs n when he was 2month old he suffered chest conjetion. Last winter he again had chest problem. N my winter went pathetic. Then a doctor suggest myteka sachets 4mg. He is taking myteka from 4 months.he is fine .now winter is coming again.n I m very worried. Is myteka OK? Any tips for winter please.,general_inquiry,medication_inquiry,59,1,general_inquiry → medication_inquiry
3150,"my left and right foot keep twitching. It doesnt actually move, it just feels like the muscle is randomly contracting and relaxing. Ive not experienced any other symptoms. This twitching started at night about a week ago and now occur randomly throughout the day.",symptom_inquiry,general_inquiry,44,0,symptom_inquiry → general_inquiry
1982,"Will purified baby food help with chrons symptoms or do you need a total liquid diet. This is for a newly diagnosed child with chrons and a fistula. We took a one month course of flagil and saw a small improvement but it did not heal,the fistula completely. We are now starting cipro and will combine it with a liquid diet for 2 months to see if we can put him in remission.",symptom_inquiry,lifestyle,73,0,symptom_inquiry → lifestyle
3281,"my daughter is 9 years old. she is seeing a pediatric urologist for interstitial cystitis. we have been in and out of the ER and after hours clinic with an increase in her urinary symptoms. she has had dysuria, pelvic and low back pain. this past week her symptoms have worsened. she did not urinate for over 24 hours. i took her into the ER and she did eventually urinate but had to strain to urinate and has ever since then. this has been going on for 4 days now. her urine came back clear under urinalysis as it always does due to being on a daily antibiotic, macrodantin 50 mg. she is now having more severe back pain and i am unsure of what i should do. can you please help me. Casey- concerned mother",emergency,symptom_inquiry,136,3,emergency → symptom_inquiry
1158,"I have a severe pain in my outside forearm when i try to rotate my arm or twist my wrist such as opening a door knob. I can move my arm up and down with no pain and flex my arm with no pain, only the twisting motion causes it. I noticed the pain almost immediately after lifting weights. What is causing this horrible pain?",emergency,general_inquiry,65,2,emergency → general_inquiry
2719,"Hi. This is Lejeesh. 24 years, Male, 180cm, 83 kg. Did not have any big desease. Have little issue with Piles. Porbably because of my eating habits and sleepless nights. My query is regarding small lumps inside my body. I can feel it with my hands. At my legs, both hands, stomach. I know almost 10 lumbs inside my body but I am not quite sure about the cause. Should I be concerned about it?",general_inquiry,symptom_inquiry,75,2,general_inquiry → symptom_inquiry
4306,"my age is 41,i had an operation  for fibroid,removed my uterus .before operation i use to have a lot of hairfall,i thought due to hemoglobin less,but after operation also its not stopped so can u suggest me what will be the reason.medicine",medication_inquiry,symptom_inquiry,42,0,medication_inquiry → symptom_inquiry
3988,"Hello, Two weeks ago I had discomfort in my lower back. Ice/heat helped but about a week ago a was lifting about 30 pounds and had acute pain. Pain continued for about 72 hrs, and went to about a level 8 on a pain scale. I am now experiencing a heaviness in the leg, can t lift my knee up to my chest, and it feels like the leg may give out as I walk. I no longer have pain. Should I just wait and see what happens, or should I be seen? Rebecca",symptom_inquiry,general_inquiry,94,4,symptom_inquiry → general_inquiry
4356,Dear Sir i am 25 year old i am suffer low plate count since 2009.I am take so many medicine but my plate late did not increase .last month my plate count felt down under 5000 plate late . Pl z told me how am cure from this deaseas.my Dr. give me advise of to do spleen removing . operation.What can i do,medication_inquiry,symptom_inquiry,63,0,medication_inquiry → symptom_inquiry
1636,"Hello sir , Thank you in advance Sir , my mother is facing a severe pain in her knees and in most of the parts and joints of her below the waist part and also in her shoulders wrist . A doctor confirmed it is as RA .She is taking the medication from a homeopathy doctor for the last one year , but after many days she is not feeling good and now she is complaining like she got pain in her back and in waist . So , could you tell me what should I do now and could you please suggest me a best doctor for this problem. Sir , I am from Hyderabad . And please email me the reply to YYYY@YYYY Thank you so much sir",emergency,symptom_inquiry,129,3,emergency → symptom_inquiry
752,about a month ago i had blackout while driving the car. i felt kind of funny and i think i blacked out for about 60 seconds. thank god i didnt harm anyone or myself. i went to a and e and had ct scan no bleed. they said i had a migraine blackout. i now have to have mri scan and attend migraine clinic. could this be epilepsy. for years i havnt slept well.,diagnostic,emergency,74,1,diagnostic → emergency
4250,"A friend has undergone extensive abdominal surgery for a cancerous tumor of the stomach wall lining. Had stomach removed, part of intestines, gallbladder, and omentum. Was in hospital for 6 weeks. On return home has not had a good day yet. Weight has dropped 41 lbs and has had fluid on lungs removed once, but now fluid has returned. Why is he not improving and why the fluid build up. At this point he 15 weeks post op.",lifestyle,general_inquiry,78,3,lifestyle → general_inquiry
826,"i m having serious fungal infection , doc has given me floconazole tablet(1tab/week and its nearly 5 months now i m taking this tablet) and ocytetracycline injection IP for applying in infected area and then apply clobetasole cream. but it all hardly helps me ..plz help",symptom_inquiry,medication_inquiry,47,1,symptom_inquiry → medication_inquiry
2714,"Hi doctor, I am on this routine of eating food and friuts that suit my blood group - B positive. I learnt that Aloe vera is is a No No for my blood group. A friend said Aloe Vera is an adaptogen but when i take Forever living Aloe gel i feel slight ache in my stomach for 30mins - 1hr. Please does this mean Aloe does not suit my blood group? Frances",lifestyle,diagnostic,73,1,lifestyle → diagnostic
2624,"Hello, I had an accident at work - 48 hours ago now. I walked into a fire bucket which someone had left in a doorway - obviously the bucket didn t budge, so I fell heavily. I have a black Eye and swelling to my face. I also injured my shin and this is what is worrying me. I have swelling which covers most of the length of my shin, and there is swelling to the ankle. I can bear weight on my leg but it is painful, and the swelling shows now sign of going down. Sometimes the area even feels hot to the touch. A first aider applied ice at the time of the injury, and I have been keeping my leg raised. Is there anything else I should do? thank you",lifestyle,general_inquiry,134,3,lifestyle → general_inquiry
